Title,Price,Brand,Model,Condition,Type,Description,URL
Delivery,21100,Dell,,Used,Laptop,NB North Bayou Lcd Led TV WALL Mount Table Mount Bracket F100A Gas Spring Arm 22-35 inch,https://www.olx.com.pk/item/nb-north-bayou-lcd-led-tv-wall-mount-table-mount-bracket-f100a-gas-spring-arm-22-35-inch-iid-ev481068-1
Delivery,5000,Dell,,Used,Laptop,"Universal TiltTech SH-64T TV Wall Mount: Fits 32""-70"" Inch TVs",https://www.olx.com.pk/item/universal-tilttech-sh-64t-tv-wall-mount-fits-32-70-inch-tvs-iid-ev481082-1
Delivery,20999,Dell,,Used,Laptop,NB F160 Dual Monitor VESA Desk Mount Arm Stand 2 Computer LCD LED Screens,https://www.olx.com.pk/item/nb-f160-dual-monitor-vesa-desk-mount-arm-stand-2-computer-lcd-led-screens-iid-ev481073-1
Delivery,4199,Dell,,Used,Laptop,"NeePho 36 LED Soft Ring Light - Portable USB Light with Adjustable Brightness & Color Temperature for Makeup, Photography, and Video (Stand Not Included)",https://www.olx.com.pk/item/neepho-36-led-soft-ring-light-portable-usb-light-with-adjustable-brightness-color-temperature-for-makeup-photography-and-video-stand-not-included-iid-ev480980-1
Delivery,9100,Dell,,Used,Laptop,"Enhanced Home Design Tabletop TV Stand: Adjustable Base for 37-55 inch LCD LED TVs, Featuring Tempered Glass Base and Integrated Wire Management",https://www.olx.com.pk/item/enhanced-home-design-tabletop-tv-stand-adjustable-base-for-37-55-inch-lcd-led-tvs-featuring-tempered-glass-base-and-integrated-wire-management-iid-ev481065-1
Featured,32999,Dell,,Used,Laptop,"HP ZBook 15 G2 Laptop |i7 4th Gen| 8/256 GB | 1GB Graphic Card Johar Town, Lahore•4 weeks ago Call Chat",https://www.olx.com.pk/item/hp-zbook-15-g2-laptop-i7-4th-gen-8256-gb-1gb-graphic-card-iid-1108167827
Featured,1000,Dell,,Used,Laptop,"MacBook Pro M1 I-8 Markaz, Islamabad•19 hours ago Call Chat",https://www.olx.com.pk/item/macbook-pro-m1-iid-1109505708
Featured,31500,Dell,,Used,Laptop,"HP core i7 4th generation laptop 8gb ram 500gb Rom camera wifi DVD Blue Area, Islamabad•4 weeks ago Call Chat",https://www.olx.com.pk/item/hp-core-i7-4th-generation-laptop-8gb-ram-500gb-rom-camera-wifi-dvd-iid-1108705336
Featured,60900,Dell,,Used,Laptop,"Lenovo T480 i7 8th Gen 8GB RAM 256GB SSD FHD Backlite Keyboard ! Saddar, Rawalpindi•1 week ago Call Chat",https://www.olx.com.pk/item/lenovo-t480-i7-8th-gen-8gb-ram-256gb-ssd-fhd-backlite-keyboard-iid-1109324250
Featured,1000,Dell,,Used,Laptop,"HP Elite Dragonfly G2 x360 corei5-11| 16 GB| 256 E-8, Islamabad•3 days ago Call Chat",https://www.olx.com.pk/item/hp-elite-dragonfly-g2-x360-corei5-11-16-gb-256-iid-1109506508
